,Location,SURVEY_DATE,Time_HHMMSS,Depth_m,Chlorophyll-a (ug/L),Dissolved Oxygen concentration (mg/L),Dissolved Oxygen % saturation (%),pH (Unit),Salinity (PSU),Specific Conductance at 25 deg C (mS/cm),Temperature (deg C),Turbidity (NTU)
14,1,12/08/1993,90700,0.2,,6.7,89.9,8.42,36.0,54.3,19.0,8.0
15,1,12/08/1993,90700,2.0,,6.7,90.0,8.41,36.1,54.5,18.9,8.0
16,1,12/08/1993,90700,4.0,,6.7,89.6,8.41,36.1,54.5,18.9,9.0
17,1,12/08/1993,90700,6.0,,6.8,90.1,8.42,36.2,54.6,18.8,8.0
18,1,16/09/1993,115900,0.2,,6.5,92.0,8.17,36.6,55.2,21.7,10.0
19,1,16/09/1993,115900,2.0,,6.5,91.9,8.17,36.7,55.2,21.6,14.0
20,1,16/09/1993,115900,4.0,,6.5,92.0,8.17,36.6,55.2,21.6,16.0
21,1,16/09/1993,115900,6.0,,6.5,92.0,8.17,36.6,55.2,21.6,17.0
22,1,16/09/1993,115900,8.0,,6.5,91.4,8.17,36.6,55.2,21.6,22.0
23,1,14/10/1993,100700,0.2,,6.3,89.6,8.07,36.6,55.1,22.1,18.0
24,1,14/10/1993,100700,2.0,,6.3,88.7,8.08,36.6,55.1,22.1,17.0
25,1,14/10/1993,100700,4.0,,6.3,89.2,8.08,36.5,55.1,22.1,17.0
26,1,14/10/1993,100700,6.0,,6.3,89.0,8.08,36.5,55.1,22.1,18.0
27,1,11/11/1993,94500,0.2,,6.3,93.7,8.11,34.3,52.2,25.4,14.0
28,1,11/11/1993,94500,10.0,,6.0,89.7,8.14,35.2,53.3,25.3,96.0
29,1,11/11/1993,94500,2.0,,6.1,90.5,8.13,34.9,52.9,25.3,20.0
30,1,11/11/1993,94500,4.0,,6.1,90.6,8.14,35.1,53.2,25.3,30.0
31,1,11/11/1993,94500,6.0,,6.1,90.9,8.15,35.2,53.3,25.3,45.0
