Timestamp,Record,Chlugl,Depthm,DOmgL,DOPerSat,fDOMQSU,fDOMRFU,pH,Salinitypsu,SpCondmS,TemperatureDegC,TurbNTU
2024-01-01 00:05:42,1,,0.033,8.15,,-2.03,,8.16,0,,29.856,
2024-01-01 00:35:42,2,,0.031,8.17,,-1.99,,8.15,0,,29.683,
2024-01-01 01:05:42,3,,0.03,8.18,,-1.79,,8.16,0,,29.607,
2024-01-01 01:35:42,4,,0.029,8.18,,-1.82,,8.14,0,,29.509,
2024-01-01 02:05:42,5,,0.029,8.18,,-2.22,,8.14,0,,29.488,
2024-01-01 02:35:42,6,,0.028,8.18,,-2.49,,8.12,0,,29.492,
2024-01-01 03:05:42,7,,0.028,8.18,,-2.02,,8.13,0,,29.477,
2024-01-01 03:35:42,8,,0.025,8.21,,-2.01,,8.13,0,,29.294,
2024-01-01 04:05:42,9,,0.023,8.23,,-1.88,,8.13,0,,29.097,
2024-01-01 04:35:42,10,,0.026,8.23,,-1.82,,8.12,0,,29.075,
2024-01-01 05:05:42,11,,0.028,8.23,,-1.62,,8.11,0,,29.094,
2024-01-01 05:35:42,12,,0.031,8.29,,-1.96,,8.07,0,,28.573,
2024-01-01 06:05:42,13,,0.034,8.27,,-1.98,,8.08,0,,28.776,
2024-01-01 06:35:42,14,,0.036,8.24,,-2.06,,8.09,0,,29.021,
2024-01-01 07:05:42,15,,0.037,8.27,,-2,,8.09,0,,28.854,
2024-01-01 07:35:42,16,,0.037,8.21,,-2.57,,8.08,0,,29.232,
2024-01-01 08:05:42,17,,0.039,8.18,,-2.32,,8.1,0,,29.527,
2024-01-01 08:35:42,18,,0.04,8.17,,-1.95,,8.11,0,,29.629,
2024-01-01 09:05:42,19,,0.037,8.17,,-2.29,,8.12,0,,29.68,
2024-01-01 09:35:42,20,,0.043,8.16,,-1.94,,8.13,0,,29.72,
2024-01-01 10:05:42,21,,0.049,8.17,,-2.53,,8.15,0,,29.73,
2024-01-01 10:35:42,22,,0.048,8.17,,-2.23,,8.14,0,,29.72,
2024-01-01 11:05:42,23,,0.047,8.18,,-2.62,,8.16,0,,29.7,
2024-01-01 11:35:42,24,,0.044,8.17,,-1.66,,8.16,0,,29.751,
2024-01-01 12:05:42,25,,0.041,8.15,,-2.7,,8.17,0,,29.864,
2024-01-01 12:35:42,26,,0.039,8.16,,-1.62,,8.22,0,,29.952,
2024-01-01 13:05:42,27,,0.039,8.16,,-1.88,,8.18,0,,29.745,
2024-01-01 13:35:42,28,,0.038,8.19,,-2.03,,8.19,0,,29.594,
2024-01-01 14:05:42,29,,0.036,8.19,,-1.53,,8.17,0,,29.535,
2024-01-01 14:35:42,30,,0.034,8.2,,-2,,8.16,0,,29.489,
2024-01-01 15:05:42,31,,0.029,8.19,,-1.77,,8.17,0,,29.511,
2024-01-01 15:35:42,32,,0.028,8.17,,-1.88,,8.14,0,,29.579,
2024-01-01 16:05:42,33,,0.027,8.18,,-1.82,,8.17,0,,29.602,
2024-01-01 16:35:42,34,,0.023,8.18,,-1.83,,8.17,0,,29.584,
2024-01-01 17:05:42,35,,0.029,8.22,,-1.77,,8.18,0,,29.409,
2024-01-01 17:35:42,36,,0.032,8.23,,-2.02,,8.17,0,,29.319,
2024-01-01 18:05:42,37,,0.038,8.25,,-1.81,,8.17,0,,29.238,
2024-01-01 18:35:42,38,,0.042,8.28,,-2.07,,8.15,0,,29.018,
2024-01-01 19:05:42,39,,0.041,8.29,,-2.08,,8.14,0,,28.881,
2024-01-01 19:35:42,40,,0.038,8.3,,-2.29,,8.12,0,,28.75,
2024-01-01 20:05:42,41,,0.041,8.3,,-2.07,,8.13,0,,28.759,
2024-01-01 20:35:42,42,,0.041,8.3,,-1.99,,8.11,0,,28.732,
2024-01-01 21:05:42,43,,0.043,8.28,,-1.95,,8.1,0,,28.893,
2024-01-01 21:35:42,44,,0.043,8.25,,-1.27,,8.1,0,,29.074,
2024-01-01 22:05:42,45,,0.042,8.27,,-2.11,,8.1,0,,29,
2024-01-01 22:35:42,46,,0.04,8.25,,-2.19,,8.09,0,,29.036,
2024-01-01 23:05:42,47,,0.038,8.3,,-2.04,,8.11,0,,28.713,
2024-01-01 23:35:42,48,,0.033,8.27,,-1.79,,8.09,0,,28.813,
2024-01-02 00:05:42,49,,0.027,8.29,,-2.1,,8.09,0,,28.654,
2024-01-02 00:35:42,50,,0.022,8.26,,-2.29,,8.09,0,,28.902,
2024-01-02 01:05:42,51,,0.019,8.27,,-2.07,,8.1,0,,28.769,
2024-01-02 01:35:42,52,,0.019,8.26,,-2.42,,8.08,0,,28.758,
2024-01-02 02:05:42,53,,0.016,8.29,,-2.04,,8.08,0,,28.52,
2024-01-02 02:35:42,54,,0.011,8.29,,-1.87,,8.08,0,,28.47,
2024-01-02 03:05:42,55,,0.01,8.29,,-2.1,,8.08,0,,28.453,
2024-01-02 03:35:42,56,,0.01,8.31,,-2.44,,8.07,0,,28.272,
2024-01-02 04:05:42,57,,0.009,8.34,,-2.02,,8.06,0,,28.024,
2024-01-02 04:35:42,58,,0.012,8.37,,-1.9,,8.05,0,,27.815,
2024-01-02 05:05:42,59,,0.016,8.41,,-2.02,,8.05,0,,27.566,
2024-01-02 05:35:42,60,,0.02,8.44,,-2.27,,8.06,0,,27.396,
2024-01-02 06:05:42,61,,0.025,8.46,,-2.32,,8.06,0,,27.297,
2024-01-02 06:35:42,62,,0.025,8.46,,-2.26,,8.05,0,,27.25,
2024-01-02 07:05:42,63,,0.029,8.47,,-2.04,,8.07,0,,27.229,
2024-01-02 07:35:42,64,,0.029,8.47,,-2.05,,8.06,0,,27.246,
2024-01-02 08:05:42,65,,0.029,8.42,,-2.26,,8.07,0,,27.662,
2024-01-02 08:35:42,66,,0.027,8.31,,-2.18,,8.03,0,,28.389,
2024-01-02 09:05:42,67,,0.026,8.28,,-2.05,,8.05,0,,28.643,
2024-01-02 09:35:42,68,,0.024,8.26,,-2.47,,8.06,0,,28.756,
2024-01-02 10:05:42,69,,0.021,8.27,,-2.79,,8.08,0,,28.733,
2024-01-02 10:35:42,70,,0.017,8.26,,-2.19,,8.08,0,,28.757,
2024-01-02 11:05:42,71,,0.014,8.26,,-2.41,,8.1,0,,28.928,
2024-01-02 11:35:42,72,,0.014,8.22,,-2.54,,8.1,0,,29.118,
2024-01-02 12:05:42,73,,0.015,8.18,,-2.69,,8.14,0,,29.542,
2024-01-02 12:35:42,74,,0.016,8.19,,-2.61,,8.14,0,,29.463,
2024-01-02 13:05:42,75,,0.012,8.2,,-2.04,,8.15,0,,29.327,
2024-01-02 13:35:42,76,,0.013,8.16,,-1.98,,8.14,0,,29.632,
2024-01-02 14:05:42,77,,0.008,8.16,,-2.26,,8.16,0,,29.625,
2024-01-02 14:35:42,78,,0.007,8.14,,-1.86,,8.15,0,,29.726,
2024-01-02 15:05:42,79,,0.003,8.1,,-2.36,,8.19,0,,30.103,
2024-01-02 15:35:42,80,,-0.001,8.03,,-2.08,,8.23,0,,30.686,
2024-01-02 16:05:42,81,,-0.001,8,,-2.08,,8.29,0,,30.967,
2024-01-02 16:35:42,82,,0.002,8.03,,-2.08,,8.3,0,,30.749,
2024-01-02 17:05:42,83,,0.004,8.05,,-2.1,,8.32,0,,30.629,
2024-01-02 17:35:42,84,,0.008,8.08,,-1.67,,8.31,0,,30.46,
2024-01-02 18:05:42,85,,0.011,8.09,,-2.13,,8.32,0,,30.33,
2024-01-02 18:35:42,86,,0.012,8.13,,-1.55,,8.29,0,,29.99,
2024-01-02 19:05:42,87,,0.013,8.13,,-2,,8.28,0,,29.977,
2024-01-02 19:35:42,88,,0.013,8.16,,-2.39,,8.28,0,,29.729,
2024-01-02 20:05:42,89,,0.01,8.16,,-1.47,,8.22,0,,29.669,
2024-01-02 20:35:42,90,,0.007,8.17,,-1.99,,8.19,0,,29.533,
2024-01-02 21:05:42,91,,0.007,8.2,,-1.42,,8.19,0,,29.317,
2024-01-02 21:35:42,92,,0.006,8.18,,-2.12,,8.14,0,,29.343,
2024-01-02 22:05:42,93,,0.01,8.18,,-2,,8.15,0,,29.378,
2024-01-02 22:35:42,94,,0.012,8.25,,-2.06,,8.17,0,,28.96,
2024-01-02 23:05:42,95,,0.01,8.21,,-2.14,,8.17,0,,29.276,
2024-01-02 23:35:42,96,,0.01,8.2,,-1.87,,8.16,0,,29.324,
2024-01-03 00:05:42,97,,0.005,8.23,,-2.07,,8.15,0,,29.095,
2024-01-03 00:35:42,98,,0.002,8.24,,-2.43,,8.15,0,,28.994,
2024-01-03 01:05:42,99,,0,8.26,,-1.85,,8.15,0,,28.841,
2024-01-03 01:35:42,100,,-0.004,8.23,,-1.86,,8.16,0,,28.999,
2024-01-03 02:05:42,101,,-0.007,8.25,,-1.77,,8.15,0,,28.858,
2024-01-03 02:35:42,102,,-0.007,8.26,,-1.98,,8.13,0,,28.687,
2024-01-03 03:05:42,103,,-0.008,8.29,,-2.18,,8.13,0,,28.506,
2024-01-03 03:35:42,104,,-0.008,8.37,,-2.17,,8.14,0,,27.971,
2024-01-03 04:05:42,105,,-0.002,8.38,,-2.04,,8.15,0,,27.833,
2024-01-03 04:35:42,106,,0.003,8.4,,-2.26,,8.15,0,,27.73,
2024-01-03 05:05:42,107,,0.007,8.39,,-2.39,,8.18,0,,27.773,
2024-01-03 05:35:42,108,,0.011,8.4,,-1.85,,8.17,0,,27.745,
2024-01-03 06:05:42,109,,0.013,8.4,,-2.06,,8.18,0,,27.728,
2024-01-03 06:35:42,110,,0.02,8.4,,-2.25,,8.18,0,,27.832,
2024-01-03 07:05:42,111,,0.022,8.39,,-2.3,,8.18,0,,27.87,
