LOCATION_ID_BSA,LOCATION_NAME,Lat_GDA94,Long_GDA04,SURVEY_DATE,Time_HHMMSS,Depth_m,Data qualifier for Chlorophyll-a (ug/L),Chlorophyll-a (ug/L),Data qualifier for Secchi depth (metres),Secchi depth (metres),Data qualifier for Ammonia as N (mg/L),Ammonia as N (mg/L),Data qualifier for Nitrogen Oxides as N (mg/L),Nitrogen Oxides as N (mg/L),Data qualifier for Total Nitrogen as N (mg/L),Total Nitrogen as N (mg/L),Data qualifier for Organic Nitrogen as N (mg/L),Organic Nitrogen as N (mg/L),Data qualifier for Dissolved Oxygen concentration (mg/L),Dissolved Oxygen concentration (mg/L),Data qualifier for Dissolved Oxygen % saturation (%),Dissolved Oxygen % saturation (%),Data qualifier for pH (Unit),pH (Unit),Data qualifier for Filterable Reactive Phosphorus as P (mg/L),Filterable Reactive Phosphorus as P (mg/L),Data qualifier for Total Phosphorus as P (mg/L),Total Phosphorus as P (mg/L),Data qualifier for Salinity (PSU),Salinity (PSU),Data qualifier for Specific Conductance at 25 deg C (mS/cm),Specific Conductance at 25 deg C (mS/cm),Data qualifier for Temperature (deg C),Temperature (deg C),Data qualifier for Turbidity (NTU),Turbidity (NTU)
1.36E+12,BURNETT RIVER 0.0km AT MOUTH,-24.75416667,152.4088889,18/05/1993,140800,0.2,,,,0.9,,,,,,,,,,5.2,,73.7,,8.1,,,,,,36.8,,55.5,,21.9,,
1.36E+12,BURNETT RIVER 0.0km AT MOUTH,-24.75416667,152.4088889,18/05/1993,140800,2,,,,,,,,,,,,,,5.2,,73.7,,8.1,,,,,,36.8,,55.5,,21.9,,
1.36E+12,BURNETT RIVER 0.0km AT MOUTH,-24.75416667,152.4088889,18/05/1993,140800,4,,,,,,,,,,,,,,5.2,,73.7,,8.1,,,,,,36.8,,55.5,,21.9,,
1.36E+12,BURNETT RIVER 0.0km AT MOUTH,-24.75416667,152.4088889,16/06/1993,123400,0.2,,,,1,,,,,,,,,,6.8,,94.9,,8,,,,,,43.7,,63.9,,18.7,,
1.36E+12,BURNETT RIVER 0.0km AT MOUTH,-24.75416667,152.4088889,16/06/1993,123400,2,,,,,,,,,,,,,,6.9,,94.7,,8.1,,,,,,42.5,,62.4,,18.6,,
1.36E+12,BURNETT RIVER 0.0km AT MOUTH,-24.75416667,152.4088889,16/06/1993,123400,4,,,,,,,,,,,,,,6.9,,94.9,,8.1,,,,,,41.9,,61.8,,18.7,,
1.36E+12,BURNETT RIVER 0.0km AT MOUTH,-24.75416667,152.4088889,16/06/1993,123400,6,,,,,,,,,,,,,,6.9,,94.9,,8.1,,,,,,41.7,,61.6,,18.7,,
1.36E+12,BURNETT RIVER 0.0km AT MOUTH,-24.75416667,152.4088889,16/06/1993,123400,8,,,,,,,,,,,,,,7.1,,97.1,,8.1,,,,,,41.7,,61.5,,18.7,,
1.36E+12,BURNETT RIVER 0.0km AT MOUTH,-24.75416667,152.4088889,15/07/1993,94100,0.2,,,,1.1,,,,,,,,,,5.8,,82,,8,,,,,,41.5,,61.3,,20.2,,
1.36E+12,BURNETT RIVER 0.0km AT MOUTH,-24.75416667,152.4088889,15/07/1993,94100,2,,,,,,,,,,,,,,5.7,,80.7,,8,,,,,,41.4,,61.2,,20.1,,
1.36E+12,BURNETT RIVER 0.0km AT MOUTH,-24.75416667,152.4088889,15/07/1993,94100,4,,,,,,,,,,,,,,5.8,,81.8,,8,,,,,,41.2,,61,,20.1,,
