,Location,SURVEY_DATE,Time_HHMMSS,Depth_m,Chlorophyll-a (ug/L),Dissolved Oxygen concentration (mg/L),Dissolved Oxygen % saturation (%),pH (Unit),Salinity (PSU),Specific Conductance at 25 deg C (mS/cm),Temperature (deg C),Turbidity (NTU)
0,1,27/08/2007,100900,0.2,1.6,7.0,89.6,7.79,26.8,41.8,19.81,2.0
1,1,27/08/2007,100900,2.0,,6.9,89.2,7.78,26.9,42.0,19.77,3.0
2,1,27/08/2007,100900,3.0,,7.0,89.3,7.78,27.0,42.0,19.75,2.0
3,1,28/09/2007,93600,0.2,1.2,6.3,87.3,7.78,28.0,43.4,23.33,4.0
4,1,28/09/2007,93600,2.0,,6.3,87.2,7.78,28.0,43.4,23.33,5.0
5,1,28/09/2007,93600,4.0,,6.3,87.5,7.8,28.6,44.2,23.33,6.0
6,1,26/10/2007,90800,0.2,0.8,5.8,87.0,8.11,33.9,51.6,25.85,5.0
7,1,26/10/2007,90800,2.0,,5.8,87.0,8.11,33.9,51.6,25.82,5.0
8,1,26/10/2007,90800,4.0,,5.9,88.1,8.14,34.3,52.2,25.7,4.0
9,1,26/11/2007,111200,0.2,1.8,6.4,94.5,7.96,33.5,51.0,25.36,5.0
10,1,26/11/2007,111200,2.0,,6.4,95.0,7.99,33.7,51.3,25.32,6.0
11,1,10/12/2007,104400,0.2,1.5,5.7,89.3,7.75,35.0,53.1,28.73,5.0
12,1,10/12/2007,104400,2.0,,5.6,87.7,7.77,35.1,53.1,28.7,4.0
13,1,10/12/2007,104400,4.0,,5.5,86.2,7.77,35.1,53.1,28.69,5.0
14,1,22/01/2008,90800,0.2,4.5,5.6,78.5,7.85,18.5,29.8,27.93,7.0
15,1,22/01/2008,90800,2.0,,5.5,78.3,7.87,19.7,31.6,27.86,10.0
16,1,22/01/2008,90800,4.0,,5.5,78.0,7.88,19.9,32.0,27.83,7.0
17,1,18/02/2008,92300,0.2,1.4,6.3,75.6,6.54,0.486,0.959,24.22,103.0
18,1,18/02/2008,92300,2.0,,6.3,75.1,6.52,0.488,0.962,24.19,146.0
19,1,18/02/2008,92300,3.0,,6.3,74.9,6.52,0.488,0.963,24.19,174.0
20,1,19/03/2008,92600,0.2,3.1,6.3,87.7,7.74,24.6,38.7,25.21,6.0
21,1,19/03/2008,92600,2.0,,6.2,87.1,7.75,24.9,39.1,25.18,5.0
22,1,19/03/2008,92600,3.0,,6.2,86.8,7.75,25.0,39.2,25.18,8.0
23,1,21/04/2008,120600,0.2,1.9,6.3,84.7,7.39,28.7,44.4,21.99,3.0
24,1,21/04/2008,120600,2.0,,6.3,84.6,7.35,28.8,44.5,21.97,5.0
25,1,4/07/2008,103800,0.2,,6.9,86.1,7.71,23.9,37.6,18.94,6.0
