,Timestamp,Rain_mm,DailyRain_mm,WindSpeed_mean,Chlorophyll_ugL,Depth_m,DissolvedOxygen_mgL,DO_Saturation_percent,pH,Salinity_psu,Conductivity_mScm,Temperature_C,Turbidity_NTU
0,2024/12/26 0:00,0,100.8,0.739,3.24,0.379,2.74,38.69,7.4,12.92,21.648,29.62,4.54
1,2024/12/26 0:10,0,0,0.883,3.28,0.38,2.73,38.45,7.39,12.54,21.065,29.595,4.67
2,2024/12/26 0:20,0,0,0.71,3.35,0.378,2.72,38.22,7.38,12.38,20.819,29.592,4.89
3,2024/12/26 0:30,0,0,0.547,3.26,0.378,2.71,38.04,7.38,12.04,20.296,29.632,4.9
4,2024/12/26 0:40,0,0,0.653,3.39,0.376,2.7,37.87,7.36,11.72,19.791,29.609,5.1
5,2024/12/26 0:50,0,0,0.666,3.42,0.377,2.7,37.79,7.35,11.32,19.178,29.578,5.62
6,2024/12/26 1:00,0,0,0.483,3.57,0.374,2.72,37.94,7.34,10.76,18.296,29.572,5.83
7,2024/12/26 1:10,0,0,0.447,3.61,0.375,2.76,38.31,7.33,10.3,17.578,29.595,5.81
8,2024/12/26 1:20,0,0,0.531,3.72,0.372,2.8,38.84,7.32,9.68,16.602,29.57,6.16
9,2024/12/26 1:30,0,0,0.338,3.71,0.372,2.81,38.91,7.31,9.39,16.146,29.594,6.45
10,2024/12/26 1:40,0,0,0.33,3.84,0.369,2.85,39.34,7.3,8.89,15.354,29.581,6.65
11,2024/12/26 1:50,0,0,0.552,3.87,0.369,2.88,39.69,7.3,8.46,14.665,29.598,6.85
12,2024/12/26 2:00,0,0,0.513,3.92,0.366,2.94,40.33,7.29,7.93,13.818,29.589,7.32
13,2024/12/26 2:10,0,0,1.103,3.96,0.364,3.04,41.53,7.28,7.17,12.582,29.526,7.63
14,2024/12/26 2:20,0,0,0.813,4,0.363,3.01,41.08,7.27,7.39,12.939,29.542,7.73
15,2024/12/26 2:30,0,0,0.37,4.03,0.362,3.03,41.3,7.26,7.11,12.486,29.558,7.69
16,2024/12/26 2:40,0,0,0.416,4.18,0.361,3.06,41.67,7.26,6.88,12.11,29.529,7.8
17,2024/12/26 2:50,0,0,0.486,4.31,0.362,3.04,41.38,7.25,6.38,11.293,29.567,7.67
18,2024/12/26 3:00,0,0,0.745,4.16,0.358,2.82,38.89,7.28,9.27,15.95,29.519,6.28
19,2024/12/26 3:10,0,0,0.554,4.03,0.36,2.75,38.23,7.3,10.21,17.434,29.531,6.14
20,2024/12/26 3:20,0,0,0.937,3.91,0.359,2.81,39.02,7.31,10.15,17.35,29.49,6.17
21,2024/12/26 3:30,0,0,1.203,3.89,0.361,2.83,39.19,7.32,10.19,17.409,29.446,5.91
22,2024/12/26 3:40,0,0,0.983,3.84,0.362,2.83,39.23,7.32,10.07,17.22,29.449,6.01
23,2024/12/26 3:50,0,0,0.975,3.82,0.362,2.94,40.71,7.33,10.4,17.73,29.23,5.61
24,2024/12/26 4:00,0,0,1.037,3.9,0.362,3.01,41.6,7.35,10.48,17.847,29.088,5.24
25,2024/12/26 4:10,0,0,1.098,3.86,0.366,2.99,41.25,7.35,10.65,18.115,29.128,5.11
26,2024/12/26 4:20,0,0,1.046,3.97,0.365,2.98,41.36,7.37,11.69,19.744,29.135,4.69
27,2024/12/26 4:30,0,0,0.815,3.8,0.368,3.04,42.21,7.39,11.93,20.102,28.981,4.63
28,2024/12/26 4:40,0,0,0.695,3.95,0.369,3.12,43.91,7.45,14.17,23.535,28.99,4.39
29,2024/12/26 4:50,0,0,0.99,4.08,0.37,3.23,45.87,7.51,15.67,25.797,29.001,4.18
30,2024/12/26 5:00,0,0,0.689,3.95,0.37,3.36,47.68,7.55,16.12,26.469,28.928,3.91
