,Timestamp,EXO ChlugL,EXO Depthm,EXO DOmgL,EXO DOPerSat,EXO pH,EXO Salpsu,EXO SpCondmScm,EXO TempC,EXO TurbNTU
1,2024/12/25 0:00,3.89,0.322,3.02,41.65,7.31,9.15,15.765,29.451,8.16
2,2024/12/25 0:10,3.98,0.32,3.03,41.75,7.29,8.89,15.35,29.472,8.9
3,2024/12/25 0:20,4.01,0.318,3.05,41.9,7.28,8.46,14.67,29.492,9.03
4,2024/12/25 0:30,4.04,0.317,3.09,42.34,7.27,7.93,13.82,29.511,9.34
5,2024/12/25 0:40,4.06,0.316,3.14,42.87,7.25,7.31,12.806,29.541,9.91
6,2024/12/25 0:50,4.26,0.318,3.19,43.53,7.25,6.69,11.803,29.572,10.23
7,2024/12/25 1:00,4.36,0.316,3.22,43.83,7.24,6.33,11.219,29.609,9.96
8,2024/12/25 1:10,4.32,0.318,3.27,44.44,7.22,5.8,10.349,29.64,10.28
9,2024/12/25 1:20,4.34,0.316,3.23,43.85,7.22,6.07,10.795,29.63,10.28
10,2024/12/25 1:30,4.44,0.316,3.29,44.56,7.21,5.57,9.966,29.656,10.62
11,2024/12/25 1:40,4.44,0.313,3.34,45.17,7.21,4.95,8.932,29.667,10.92
12,2024/12/25 1:50,4.47,0.312,3.37,45.47,7.19,4.77,8.618,29.694,10.95
13,2024/12/25 2:00,4.63,0.311,3.36,45.37,7.18,4.53,8.228,29.708,10.87
14,2024/12/25 2:10,4.59,0.312,3.43,46.09,7.18,4.02,7.352,29.707,11.09
15,2024/12/25 2:20,4.39,0.311,3.17,42.64,7.18,4.05,7.403,29.59,9.73
16,2024/12/25 2:30,4.28,0.312,3.07,41.59,7.22,6.25,11.09,29.465,9.22
17,2024/12/25 2:40,4.47,0.313,3.12,42.42,7.21,6.76,11.916,29.496,10.83
18,2024/12/25 2:50,4.42,0.313,3.16,43.11,7.23,7.11,12.48,29.462,9.28
19,2024/12/25 3:00,4.31,0.314,3.11,42.39,7.24,7.17,12.591,29.458,9.12
20,2024/12/25 3:10,4.32,0.316,3.1,42.34,7.24,7.41,12.979,29.457,8.86
21,2024/12/25 3:20,4.14,0.317,3.04,41.64,7.26,8.53,14.78,29.373,8.68
22,2024/12/25 3:30,4.2,0.32,3.12,42.81,7.29,8.98,15.487,29.242,8.16
23,2024/12/25 3:40,4.28,0.322,3.3,44.93,7.29,7.91,13.771,29.113,8.59
24,2024/12/25 3:50,4.18,0.324,3.32,45.23,7.3,8.53,14.769,28.955,8.14
25,2024/12/25 4:00,4.14,0.325,3.19,43.71,7.3,8.87,15.315,29.17,7.86
26,2024/12/25 4:10,4.06,0.328,3.24,44.53,7.33,10.0,17.097,28.932,7.18
27,2024/12/25 4:20,4.03,0.328,3.26,44.84,7.36,10.58,18.0,28.944,6.66
28,2024/12/25 4:30,4.09,0.329,3.27,45.26,7.4,11.89,20.043,28.89,8.06
29,2024/12/25 4:40,3.99,0.329,3.38,46.9,7.44,12.61,21.144,28.776,5.76
30,2024/12/25 4:50,4.02,0.332,3.37,46.96,7.47,13.14,21.956,28.834,5.55
31,2024/12/25 5:00,4.04,0.331,3.34,46.83,7.5,14.09,23.418,28.907,5.32
32,2024/12/25 5:10,3.96,0.332,3.36,47.41,7.53,14.95,24.721,28.937,4.97
33,2024/12/25 5:20,3.99,0.333,3.36,47.57,7.55,15.36,25.327,28.994,5.07
34,2024/12/25 5:30,3.73,0.335,3.44,48.78,7.59,15.98,26.259,28.972,6.39
35,2024/12/25 5:40,3.94,0.337,3.36,47.96,7.6,16.46,26.99,29.062,5.21
36,2024/12/25 5:50,3.99,0.339,3.41,48.6,7.61,16.55,27.114,29.036,4.82
37,2024/12/25 6:00,4.01,0.339,3.54,50.66,7.66,17.42,28.413,29.0,4.57
38,2024/12/25 6:10,3.76,0.343,3.43,49.36,7.67,17.77,28.936,29.186,4.97
39,2024/12/25 6:20,3.71,0.342,3.39,48.89,7.68,17.93,29.173,29.244,7.97
40,2024/12/25 6:30,3.39,0.345,3.37,48.9,7.7,18.83,30.509,29.388,7.73
41,2024/12/25 6:40,3.64,0.344,3.54,51.23,7.72,18.82,30.491,29.236,3.89
42,2024/12/25 6:50,3.8,0.346,3.58,51.98,7.74,19.22,31.078,29.28,3.43
43,2024/12/25 7:00,4.14,0.346,3.62,52.61,7.75,19.35,31.265,29.291,3.37
44,2024/12/25 7:10,4.11,0.349,3.52,51.27,7.75,19.5,31.484,29.344,3.29
45,2024/12/25 7:20,3.79,0.349,3.52,51.43,7.77,19.86,32.014,29.418,3.4
46,2024/12/25 7:30,3.69,0.348,3.72,54.49,7.79,20.17,32.468,29.45,3.19
47,2024/12/25 7:40,3.45,0.346,3.7,54.26,7.8,20.44,32.861,29.501,3.34
48,2024/12/25 7:50,3.81,0.351,3.73,54.83,7.8,20.4,32.805,29.525,3.01
49,2024/12/25 8:00,3.24,0.355,3.76,55.28,7.81,20.76,33.336,29.517,3.34
50,2024/12/25 8:10,5.88,0.359,3.88,56.92,7.8,19.92,32.109,29.585,3.0
51,2024/12/25 8:20,4.63,0.361,3.85,56.39,7.8,19.88,32.055,29.546,3.26
52,2024/12/25 8:30,3.44,0.363,3.67,53.8,7.8,20.22,32.541,29.548,3.07
53,2024/12/25 8:40,6.41,0.362,3.94,57.59,7.79,19.22,31.081,29.654,3.24
