Timestamp,Record,ABSSpd Avg,ABSSpd Avg [Quality],AbsTilt Avg,AbsTilt Avg [Quality],Direction Avg,Direction Avg [Quality],EastCur Avg,EastCur Avg [Quality],Gill DewPoint Avg,Gill DewPoint Avg [Quality],Gill Latitude,Gill Latitude [Quality],Gill Longitude,Gill Longitude [Quality],Gill Pressure,Gill Pressure [Quality],Gill Rain mm Tot,Gill Rain mm Tot [Quality],Gill TotalDailyRain mm,Gill TotalDailyRain mm [Quality],Gill TotalRain mm,Gill TotalRain mm [Quality],Gill Wd MeanUnitVector,Gill Wd MeanUnitVector [Quality],Gill Wd StdDev,Gill Wd StdDev [Quality],Gill WindSpd Max,Gill WindSpd Max [Quality],Gill Ws Mean,Gill Ws Mean [Quality],Heading Avg,Heading Avg [Quality],MaxTilt Avg,MaxTilt Avg [Quality],NorthCur Avg,NorthCur Avg [Quality],PingCnt Avg,PingCnt Avg [Quality],SigStrength Avg,SigStrength Avg [Quality],SPstd Avg,SPstd Avg [Quality],StdTilt Avg,StdTilt Avg [Quality],TiltX Avg,TiltX Avg [Quality],TiltY Avg,TiltY Avg [Quality]
Units,,,,,,,,,,Celcius,,,,,,hPa,,mm,,,,mm,,Deg,,Deg,,m/s,,m/s,,,,,,,,,,,,,,,,,,,
2024/12/26 0:00,211636,17.449,,100,,127.56,,13.832,,,,-20.169,,148.464,,,,0,,100.8,,0.56,,140.2,,,,1.41,,0.739,,155.163,,5.952,,-10.637,,-44.594,,5.06,,4.408,,6.112,,4.003,,0,
2024/12/26 0:10,211637,16.796,,100,,129.189,,13.018,,,,-20.169,,148.464,,,,0,,0,,0.56,,151,,,,2.53,,0.883,,157.286,,6.051,,-10.613,,-44.621,,6.125,,0.621,,6.243,,3.91,,4,
2024/12/26 0:20,211638,11.652,,100,,119.394,,10.152,,,,-20.169,,148.464,,,,0,,0,,0,,183.1,,,,1.77,,0.71,,155.342,,5.845,,-5.719,,-42.703,,4.772,,0.402,,5.986,,3.844,,4,
2024/12/26 0:30,211639,7.481,,5.737,,107.536,,7.133,,,,-20.169,,148.464,,,,0,,0,,0,,242.6,,,,1.25,,0.547,,155.319,,5.809,,-2.254,,100,,-40.018,,4.296,,0.026,,3.948,,4.166,
2024/12/26 0:40,211640,11.491,,5.89,,128.405,,9.005,,,,-20.169,,148.464,,,,0,,0,,0,,234.7,,,,1.18,,0.653,,161.287,,5.926,,-7.138,,100,,-43.894,,4.891,,0.07,,3.756,,4.54,
2024/12/26 0:50,211641,7.337,,5.526,,106.906,,7.02,,,,-20.169,,148.464,,,,0,,0,,0,,252.3,,,,1.24,,0.666,,159.311,,5.561,,-2.134,,100,,-40.727,,4.054,,0.032,,3.734,,4.076,
2024/12/26 1:00,211642,8.26,,5.361,,108.209,,7.846,,,,-20.169,,148.464,,,,0,,0,,0,,243.9,,,,1.17,,0.483,,163.618,,5.462,,-2.581,,100,,-40.711,,4.613,,0.04,,3.498,,4.065,
2024/12/26 1:10,211643,9.125,,5.308,,120.622,,7.852,,,,-20.169,,148.464,,,,0,,0,,0,,230,,,,0.83,,0.447,,162.221,,5.333,,-4.648,,100,,-43.25,,4.256,,0.05,,3.407,,4.072,
2024/12/26 1:20,211644,12.184,,100,,124.537,,10.037,,,,-20.169,,148.464,,,,0,,0,,0,,256,,,,0.84,,0.531,,159.891,,5.279,,-6.908,,-45.02,,4.294,,4.033,,5.283,,3.409,,0,
2024/12/26 1:30,211645,13.003,,5.085,,110.325,,12.193,,,,-20.169,,148.464,,,,0,,0,,0,,263.7,,,,0.78,,0.338,,160.813,,5.113,,-4.517,,100,,-44.911,,7.113,,0.014,,3.296,,3.874,
2024/12/26 1:40,211646,11.221,,100,,75.485,,10.862,,,,-20.169,,148.464,,,,0,,0,,0,,139.2,,,,0.67,,0.33,,152.738,,4.733,,2.812,,-43.441,,5.538,,3.523,,4.771,,3.162,,0,
2024/12/26 1:50,211647,6.358,,100,,102.687,,6.202,,,,-20.169,,148.464,,,,0,,0,,0,,242.1,,,,0.94,,0.552,,161.439,,3.924,,-1.396,,-40.697,,4.584,,0.223,,3.958,,2.24,,3,
2024/12/26 2:00,211648,2.873,,3.086,,289.85,,-2.702,,,,-20.169,,148.464,,,,0,,0,,0,,32.86,,,,1.18,,0.513,,155.756,,3.26,,0.975,,100,,-32.293,,5.205,,0.079,,1.535,,2.677,
2024/12/26 2:10,211649,4.812,,100,,80.511,,4.746,,,,-20.169,,148.464,,,,0,,0,,0,,105.9,,,,2.39,,1.103,,162.95,,3.509,,0.793,,-39.405,,5.66,,894208,,3.564,,1.984,,2,
2024/12/26 2:20,211650,6.059,,100,,76.882,,5.9,,,,-20.169,,148.464,,,,0,,0,,0,,110.5,,,,2,,0.813,,178.416,,3.008,,1.375,,-39.661,,5.441,,0.598,,3.136,,1.515,,2,
2024/12/26 2:30,211651,11.76,,1.967,,192.868,,-2.619,,,,-20.169,,148.464,,,,0,,0,,0,,87.3,,,,0.77,,0.37,,277.119,,1.972,,-11.465,,100,,-43.996,,4.393,,0.004,,0.774,,1.808,
2024/12/26 2:40,211652,18.444,,100,,274.631,,-18.384,,,,-20.169,,148.464,,,,0,,0,,0,,332.7,,,,0.9,,0.416,,331.001,,1.956,,1.489,,-47.931,,5.712,,1.907,,2.102,,4.328,,1,
2024/12/26 2:50,211653,18.309,,100,,295.261,,-16.559,,,,-20.169,,148.464,,,,0,,0,,0,,26.06,,,,1.55,,0.486,,330.484,,2.043,,7.813,,-47.437,,5.166,,1.97,,2.076,,5.399,,1,
2024/12/26 3:00,211654,20.644,,2.428,,291.558,,-19.2,,,,-20.169,,148.464,,,,0,,0,,0,,46.1,,,,1.63,,0.745,,331.701,,2.432,,7.586,,100,,-47.787,,8.519,,0,,0.788,,2.297,
2024/12/26 3:10,211655,22.19,,2.472,,292.136,,-20.555,,,,-20.169,,148.464,,,,0,,0,,0,,87.8,,,,1,,0.554,,330.875,,2.487,,8.361,,100,,-49.156,,4.3,,0.005,,0.908,,2.299,
2024/12/26 3:20,211656,23.011,,2.381,,299.505,,-20.027,,,,-20.169,,148.464,,,,0,,0,,0,,314.4,,,,1.77,,0.937,,331.098,,2.619,,11.333,,100,,-48.743,,4.71,,0.217,,1.02,,2.145,
2024/12/26 3:30,211657,26.319,,2.126,,279.869,,-25.93,,,,-20.169,,148.464,,,,0,,0,,0,,323.3,,,,4.07,,1.203,,328.88,,2.145,,4.511,,100,,-49.914,,8.141,,0.035,,0.811,,1.964,
2024/12/26 3:40,211658,23.927,,2.306,,302.331,,-20.218,,,,-20.169,,148.464,,,,0,,0,,0,,333.9,,,,1.96,,0.983,,328.6,,2.327,,12.797,,100,,-47.952,,5.875,,0.06,,1.112,,2.02,
2024/12/26 3:50,211659,27.238,,2.331,,294.107,,-24.863,,,,-20.169,,148.464,,,,0,,0,,0,,330.2,,,,2.79,,0.975,,331.837,,2.364,,11.125,,100,,-49.611,,5.915,,0.038,,0.858,,2.167,
2024/12/26 4:00,211660,24.12,,1.99,,302.113,,-20.429,,,,-20.169,,148.464,,,,0,,0,,0,,316.9,,,,2.2,,1.037,,331.37,,2.095,,12.822,,100,,-49.32,,7.671,,0.058,,0.728,,1.852,
2024/12/26 4:10,211661,26.971,,100,,296.734,,-24.088,,,,-20.169,,148.464,,,,0,,0,,0,,317.4,,,,2.3,,1.098,,330.039,,1.849,,12.133,,-48.865,,5.191,,1.758,,2.268,,5.731,,1,
2024/12/26 4:20,211662,27.999,,2.32,,297.582,,-24.817,,,,-20.169,,148.464,,,,0,,0,,0,,305.4,,,,1.77,,1.046,,331.534,,2.347,,12.964,,100,,-47.436,,5.615,,0.032,,0.497,,2.266,
2024/12/26 4:30,211663,28.6,,2.167,,297.078,,-25.466,,,,-20.169,,148.464,,,,0,,0,,0,,311.8,,,,1.49,,0.815,,332.709,,2.325,,13.019,,100,,-47.755,,4.804,,0.092,,0.563,,2.086,
2024/12/26 4:40,211664,29.22,,2.592,,287.657,,-27.844,,,,-20.169,,148.464,,,,0,,0,,0,,14.11,,,,2.62,,0.695,,326.357,,2.595,,8.863,,100,,-48.351,,11.38,,0.009,,1.57,,2.063,
2024/12/26 4:50,211665,31.038,,2.144,,290.014,,-29.164,,,,-20.169,,148.464,,,,0,,0,,0,,341.5,,,,2.48,,0.99,,331.484,,2.165,,10.623,,100,,-49.016,,6.088,,0.017,,0.981,,1.906,
2024/12/26 5:00,211666,28.908,,2.298,,281.379,,-28.34,,,,-20.169,,148.464,,,,0,,0,,0,,61.07,,,,1.3,,0.689,,330.337,,2.343,,5.704,,100,,-48.748,,5.381,,0.074,,1.214,,1.951,
2024/12/26 5:10,211667,24.904,,100,,292.788,,-22.96,,,,-20.169,,148.464,,,,0,,0,,0,,51.52,,,,1.26,,0.713,,336.763,,1.798,,9.646,,-45.924,,5.834,,0.701,,1.805,,0.583,,1,
2024/12/26 5:20,211668,18.658,,100,,299.331,,-16.266,,,,-20.169,,148.464,,,,0,,0,,0,,334.9,,,,0.9,,0.499,,334.585,,1.323,,9.14,,-47.197,,5.036,,0.304,,1.329,,0.225,,1,
2024/12/26 5:30,211669,16.077,,1.797,,301.378,,-13.726,,,,-20.169,,148.464,,,,0,,0,,0,,78.68,,,,1.36,,0.883,,331.11,,1.89,,8.371,,100,,-46.239,,5.321,,0.059,,0.587,,1.699,
2024/12/26 5:40,211670,18.953,,100,,300.39,,-16.349,,,,-20.169,,148.464,,,,0,,0,,0,,29.66,,,,0.96,,0.379,,327.698,,1.064,,9.588,,-44.849,,6.278,,1.04,,1.102,,2.238,,1,
2024/12/26 5:50,211671,21.465,,100,,293.504,,-19.684,,,,-20.169,,148.464,,,,0,,0,,0,,335.7,,,,0.93,,0.435,,329.781,,1.253,,8.561,,-46.23,,7.564,,0.228,,1.27,,0.249,,1,
2024/12/26 6:00,211672,22.864,,100,,281.969,,-22.367,,,,-20.169,,148.464,,,,0,,0,,0,,16.99,,,,0.69,,0.409,,330.527,,1.145,,4.742,,-46.422,,5.781,,1.116,,1.252,,-2.069,,-1,
2024/12/26 6:10,211673,26.605,,100,,293.266,,-24.442,,,,-20.169,,148.464,,,,0,,0,,0,,102,,,,1.26,,0.798,,329.401,,1.446,,10.509,,-43.305,,6.784,,1.361,,1.618,,4.886,,1,
2024/12/26 6:20,211674,30.675,,2.388,,288.951,,-29.012,,,,-20.169,,148.464,,,,0,,0,,0,,79.76,,,,1.75,,0.994,,329.086,,2.498,,9.962,,100,,-44.388,,5.089,,0.152,,1.063,,2.138,
2024/12/26 6:30,211675,30.688,,2.643,,292.615,,-28.329,,,,-20.169,,148.464,,,,0,,0,,0,,106.7,,,,1.47,,0.95,,328.012,,2.702,,11.801,,100,,-43.727,,6.241,,0.087,,1.46,,2.199,
2024/12/26 6:40,211676,23.446,,2.118,,292.158,,-21.715,,,,-20.169,,148.464,,,,0,,0,,0,,47.15,,,,1.13,,0.476,,324.638,,2.206,,8.843,,100,,-44.064,,5.424,,0.009,,0.976,,1.88,
