Timestamp,Record,EXO ChlugL,EXO ChlugL [Quality],EXO Depthm,EXO Depthm [Quality],EXO DOmgL,EXO DOmgL [Quality],EXO DOPerSat,EXO DOPerSat [Quality],EXO fDOMRFU,EXO fDOMRFU [Quality],EXO pH,EXO pH [Quality],EXO Salpsu,EXO Salpsu [Quality],EXO SpCondmScm,EXO SpCondmScm [Quality],EXO TempC,EXO TempC [Quality],EXO TSSmgL,EXO TSSmgL [Quality],EXO TurbNTU,EXO TurbNTU [Quality],OPUS1 MeasureTime,OPUS1 MeasureTime [Quality],OPUS1000 N NO3,OPUS1000 N NO3 [Quality],OPUS1004 CODeq,OPUS1004 CODeq [Quality],OPUS1014 TOCeq,OPUS1014 TOCeq [Quality],OPUS1016 TSSeq,OPUS1016 TSSeq [Quality],OPUS1032 SAC254,OPUS1032 SAC254 [Quality],OPUS1034 Abs360,OPUS1034 Abs360 [Quality],OPUS1036 Abs210,OPUS1036 Abs210 [Quality],OPUS1038 FitError,OPUS1038 FitError [Quality],OPUS1042 Abs254,OPUS1042 Abs254 [Quality],OPUS1052 COD SACeq,OPUS1052 COD SACeq [Quality],OPUS1060 SQI,OPUS1060 SQI [Quality],,,,,,,,,,,,,,,,,,,,,,
Units,,ug/L,,m,,mg/L,,%,,RFU,,,,psu,,mS/cm,,c,,mg/L,,,NTU,,,mg/L,,mg/L,,mg/L,,mg/L,,1/m,,,,,,,,,,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 0:00,191838,3.89,,0.322,,3.02,,41.65,2010,41.2,,7.31,,9.15,,15.765,,29.451,,,,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 0:10,191839,3.98,,0.32,,3.03,,41.75,2010,41.11,,7.29,,8.89,,15.35,,29.472,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 0:20,191840,4.01,,0.318,,3.05,,41.9,2010,41.45,,7.28,,8.46,,14.67,,29.492,,,,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 0:30,191841,4.04,,0.317,,3.09,,42.34,2010,41.73,,7.27,,7.93,,13.82,,29.511,,,,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 0:40,191842,4.06,,0.316,,3.14,,42.87,2010,42.1,,7.25,,7.31,,12.806,,29.541,,,,9.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 0:50,191843,4.26,,0.318,,3.19,,43.53,2010,42.45,,7.25,,6.69,,11.803,,29.572,,,,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 1:00,191844,4.36,,0.316,,3.22,,43.83,2010,42.82,,7.24,,6.33,,11.219,,29.609,,,,9.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 1:10,191845,4.32,,0.318,,3.27,,44.44,2010,43.03,,7.22,,5.8,,10.349,,29.64,,,,10.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 1:20,191846,4.34,,0.316,,3.23,,43.85,2010,42.94,,7.22,,6.07,,10.795,,29.63,,,,10.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 1:30,191847,4.44,,0.316,,3.29,,44.56,2010,43.16,,7.21,,5.57,,9.966,,29.656,,,,10.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 1:40,191848,4.44,,0.313,,3.34,,45.17,2010,43.42,,7.21,,4.95,,8.932,,29.667,,,,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 1:50,191849,4.47,,0.312,,3.37,,45.47,2010,43.53,,7.19,,4.77,,8.618,,29.694,,,,10.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 2:00,191850,4.63,,0.311,,3.36,,45.37,2010,43.65,,7.18,,4.53,,8.228,,29.708,,,,10.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 2:10,191851,4.59,,0.312,,3.43,,46.09,2010,43.78,,7.18,,4.02,,7.352,,29.707,,,,11.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 2:20,191852,4.39,,0.311,,3.17,,42.64,2010,41.92,,7.18,,4.05,,7.403,,29.59,,,,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 2:30,191853,4.28,,0.312,,3.07,,41.59,2010,41.75,,7.22,,6.25,,11.09,,29.465,,,,9.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 2:40,191854,4.47,,0.313,,3.12,,42.42,2010,42.46,,7.21,,6.76,,11.916,,29.496,,,,10.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
