LOCATION_ID_BSA,LOCATION_NAME,Lat_GDA94,Long_GDA04,SURVEY_DATE,Time_HHMMSS,Depth_m,Data qualifier for Chlorophyll-a (ug/L),Chlorophyll-a (ug/L),Data qualifier for Secchi depth (metres),Secchi depth (metres),Data qualifier for Ammonia as N (mg/L),Ammonia as N (mg/L),Data qualifier for Nitrogen Oxides as N (mg/L),Nitrogen Oxides as N (mg/L),Data qualifier for Total Nitrogen as N (mg/L),Total Nitrogen as N (mg/L),Data qualifier for Organic Nitrogen as N (mg/L),Organic Nitrogen as N (mg/L),Data qualifier for Dissolved Oxygen concentration (mg/L),Dissolved Oxygen concentration (mg/L),Data qualifier for Dissolved Oxygen % saturation (%),Dissolved Oxygen % saturation (%),Data qualifier for pH (Unit),pH (Unit),Data qualifier for Filterable Reactive Phosphorus as P (mg/L),Filterable Reactive Phosphorus as P (mg/L),Data qualifier for Total Phosphorus as P (mg/L),Total Phosphorus as P (mg/L),Data qualifier for Salinity (PSU),Salinity (PSU),Data qualifier for Specific Conductance at 25 deg C (mS/cm),Specific Conductance at 25 deg C (mS/cm),Data qualifier for Temperature (deg C),Temperature (deg C),Data qualifier for Turbidity (NTU),Turbidity (NTU)
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,27/08/2007,100900,0.2,,1.6,,2.4,,0.014,,0.045,,0.24,,0.181,,7,,89.6,,7.79,<,0.002,,0.009,,26.8,,41.8,,19.81,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,27/08/2007,100900,2,,,,,,,,,,,,,,6.9,,89.2,,7.78,,,,,,26.9,,42,,19.77,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,27/08/2007,100900,3,,,,,,,,,,,,,,7,,89.3,,7.78,,,,,,27,,42,,19.75,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/09/2007,93600,0.2,,1.2,,2,,0.002,,0.003,,0.18,,0.175,,6.3,,87.3,,7.78,<,0.002,,0.006,,28,,43.4,,23.33,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/09/2007,93600,2,,,,,,,,,,,,,,6.3,,87.2,,7.78,,,,,,28,,43.4,,23.33,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/09/2007,93600,4,,,,,,,,,,,,,,6.3,,87.5,,7.8,,,,,,28.6,,44.2,,23.33,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/10/2007,90800,0.2,,0.8,,1.6,<,0.002,<,0.002,,0.16,,0.156,,5.8,,87,,8.11,<,0.002,,0.007,,33.9,,51.6,,25.85,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/10/2007,90800,2,,,,,,,,,,,,,,5.8,,87,,8.11,,,,,,33.9,,51.6,,25.82,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/10/2007,90800,4,,,,,,,,,,,,,,5.9,,88.1,,8.14,,,,,,34.3,,52.2,,25.7,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/11/2007,111200,0.2,,1.8,,1.4,,0.003,<,0.002,,0.17,,0.165,,6.4,,94.5,,7.96,<,0.002,,0.01,,33.5,,51,,25.36,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/11/2007,111200,2,,,,,,,,,,,,,,6.4,,95,,7.99,,,,,,33.7,,51.3,,25.32,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,10/12/2007,104400,0.2,,1.5,,2,<,0.002,<,0.002,,0.15,,0.146,,5.7,,89.3,,7.75,<,0.002,,0.005,,35,,53.1,,28.73,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,10/12/2007,104400,2,,,,,,,,,,,,,,5.6,,87.7,,7.77,,,,,,35.1,,53.1,,28.7,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,10/12/2007,104400,4,,,,,,,,,,,,,,5.5,,86.2,,7.77,,,,,,35.1,,53.1,,28.69,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,22/01/2008,90800,0.2,,4.5,,0.95,,,,,,,,,,5.6,,78.5,,7.85,,,,,,18.5,,29.8,,27.93,,7
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,22/01/2008,90800,2,,,,,,,,,,,,,,5.5,,78.3,,7.87,,,,,,19.7,,31.6,,27.86,,10
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,22/01/2008,90800,4,,,,,,,,,,,,,,5.5,,78,,7.88,,,,,,19.9,,32,,27.83,,7
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/02/2008,92300,0.2,,1.4,,0.1,,0.077,,0.031,,1.5,,1.392,,6.3,,75.6,,6.54,,0.006,,0.11,,0.486,,0.959,,24.22,,103
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/02/2008,92300,2,,,,,,,,,,,,,,6.3,,75.1,,6.52,,,,,,0.488,,0.962,,24.19,,146
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/02/2008,92300,3,,,,,,,,,,,,,,6.3,,74.9,,6.52,,,,,,0.488,,0.963,,24.19,,174
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/03/2008,92600,0.2,,3.1,,1.3,,0.004,,0.003,,0.28,,0.273,,6.3,,87.7,,7.74,<,0.002,,0.01,,24.6,,38.7,,25.21,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/03/2008,92600,2,,,,,,,,,,,,,,6.2,,87.1,,7.75,,,,,,24.9,,39.1,,25.18,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/03/2008,92600,3,,,,,,,,,,,,,,6.2,,86.8,,7.75,,,,,,25,,39.2,,25.18,,8
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,21/04/2008,120600,0.2,,1.9,,1.8,,0.007,,0.011,,0.2,,0.182,,6.3,,84.7,,7.39,<,0.002,,0.004,,28.7,,44.4,,21.99,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,21/04/2008,120600,2,,,,,,,,,,,,,,6.3,,84.6,,7.35,,,,,,28.8,,44.5,,21.97,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,4/07/2008,103800,0.2,,,,1.8,,,,,,,,,,6.9,,86.1,,7.71,,,,,,23.9,,37.6,,18.94,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,4/07/2008,104500,0.2,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,4/07/2008,103800,2,,,,,,,,,,,,,,7,,86.3,,7.72,,,,,,23.9,,37.7,,18.93,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,4/07/2008,103800,4,,,,,,,,,,,,,,7,,86.5,,7.71,,,,,,23.9,,37.7,,18.91,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,31/07/2008,83200,0.2,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,31/07/2008,83400,0.2,,,,0.5,,,,,,,,,,8.3,,87.7,,7.6,,,,,,8.13,,14,,15.44,,19
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,31/07/2008,83400,2,,,,,,,,,,,,,,8.3,,87.5,,7.61,,,,,,8.27,,14.3,,15.49,,21
